Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
241000,0.00,0.80,99.00,0.049510
241500,0.00,1.40,97.00,0.049469
242000,0.00,1.40,97.80,0.049430
242500,0.00,1.60,97.20,0.049389
243000,0.00,1.40,98.40,0.049350
243500,0.00,2.40,96.20,0.049310
244000,0.00,1.20,97.80,0.049269
244500,0.00,0.80,98.00,0.049229
245000,0.00,2.40,96.40,0.049190
245500,0.00,1.60,97.80,0.049152
246000,0.00,1.40,98.40,0.049114
246500,0.00,0.80,97.40,0.049073
247000,0.00,2.00,97.40,0.049035
247500,0.00,1.40,98.00,0.048995
248000,0.00,0.60,98.40,0.048956
248500,0.00,1.80,97.00,0.048917
249000,0.00,0.80,98.80,0.048879
249500,0.00,1.80,97.40,0.048840
250000,0.00,0.80,99.00,0.048802
250500,0.00,1.00,97.80,0.048763
251000,0.00,0.80,98.40,0.048725
251500,0.00,1.60,97.40,0.048685
252000,0.00,1.00,98.40,0.048645
252500,0.00,1.00,96.60,0.048605
253000,0.00,1.40,97.40,0.048566
253500,0.00,0.80,97.80,0.048526
254000,0.00,1.20,97.20,0.048487
254500,0.00,0.60,98.80,0.048448
255000,0.00,2.20,96.20,0.048408
255500,0.00,1.20,98.20,0.048369
256000,0.00,1.20,97.80,0.048330
256500,0.00,1.80,96.60,0.048290
257000,0.00,0.80,98.60,0.048251
257500,0.00,1.80,96.80,0.048211
258000,0.00,1.20,97.80,0.048174
258500,0.00,2.00,97.60,0.048136
259000,0.00,0.40,98.20,0.048097
259500,0.00,1.80,97.60,0.048059
260000,0.00,0.80,98.80,0.048022
260500,0.00,1.60,97.40,0.047983
261000,0.00,1.00,98.40,0.047945
261500,0.00,0.80,98.80,0.047908
262000,0.00,1.40,97.20,0.047868
262500,0.00,1.60,97.80,0.047831
263000,0.00,2.00,97.40,0.047793
263500,0.00,1.20,97.20,0.047754
264000,0.00,1.80,97.00,0.047714
264500,0.00,1.40,98.20,0.047678
265000,0.00,1.40,97.60,0.047639
265500,0.00,0.40,99.00,0.047601
266000,0.00,1.60,96.80,0.047562
266500,0.00,1.60,97.40,0.047524
267000,0.00,0.80,98.80,0.047487
267500,0.00,2.40,97.20,0.047451
268000,0.00,1.80,97.60,0.047414
268500,0.00,2.00,97.40,0.047378
269000,0.00,1.80,97.20,0.047340
269500,0.00,1.40,97.20,0.047301
270000,0.00,1.00,98.40,0.047265
270500,0.00,1.20,98.00,0.047227
271000,0.00,0.60,98.80,0.047190
271500,0.00,1.00,98.20,0.047154
272000,0.00,1.80,98.00,0.047118
272500,0.00,0.60,98.40,0.047081
273000,0.00,2.00,97.00,0.047043
273500,0.00,0.80,98.60,0.047006
274000,0.00,1.20,96.60,0.046965
274500,0.00,2.20,97.20,0.046926
